"Public Food Key","Classification","Food Name","Energy with dietary fibre, equated  (kJ)","Energy, without dietary fibre, equated  (kJ)","Moisture (water)  (g)","Protein  (g)","Nitrogen  (g)","Fat, total  (g)","Ash  (g)","Total dietary fibre  (g)","Alcohol  (g)","Fructose  (g)","Glucose  (g)","Sucrose (g)","Maltose  (g)","Lactose  (g)","Galactose  (g)","Maltotrios  (g)","Total sugars (g)","Added sugars (g)","Free sugars  (g)","Starch  (g)","Dextrin  (g)","Glycerol  (g)","Glycogen  (g)","Inulin  (g)","Erythritol  (g)","Maltitol  (g)","Mannitol  (g)","Xylitol  (g)","Maltodextrin (g)","Oligosaccharides   (g)","Polydextrose  (g)","Raffinose  (g)","Stachyose  (g)","Sorbitol  (g)","Resistant starch  (g)","Available carbohydrate, without sugar alcohols  (g)","Available carbohydrate, with sugar alcohols  (g)","Acetic acid  (g)","Citric acid  (g)","Fumaric acid  (g)","Lactic acid  (g)","Malic acid  (g)","Oxalic acid  (g)","Propionic acid  (g)","Quinic acid  (g)","Shikimic acid  (g)","Succinic acid  (g)","Tartaric acid  (g)","Aluminium (Al)  (ug)","Antimony (Sb)  (ug)","Arsenic (As)  (ug)","Cadmium (Cd)  (ug)","Calcium (Ca)  (mg)","Chromium (Cr)  (ug)","Chloride (Cl)  (mg)","Cobalt (Co)  (ug)","Copper (Cu)  (mg)","Fluoride (F)  (ug)","Iodine (I)  (ug)","Iron (Fe)  (mg)","Lead (Pb)  (ug)","Magnesium (Mg)  (mg)","Manganese (Mn)  (mg)","Mercury (Hg)  (ug)","Molybdenum (Mo)  (ug)","Nickel (Ni)  (ug)","Phosphorus (P)  (mg)","Potassium (K)  (mg)","Selenium (Se)  (ug)","Sodium (Na)  (mg)","Sulphur (S)  (mg)","Tin (Sn)  (ug)","Zinc (Zn)  (mg)","Retinol (preformed vitamin A)  (ug)","Alpha-carotene  (ug)","Beta-carotene  (ug)","Cryptoxanthin  (ug)","Beta-carotene equivalents (provitamin A)  (ug)","Vitamin A retinol equivalents  (ug)","Lutein  (ug)","Lycopene  (ug)","Xanthophyl  (ug)","Thiamin (B1)  (mg)","Riboflavin (B2)  (mg)","Niacin (B3)  (mg)","Niacin derived from tryptophan  (mg)","Niacin derived equivalents  (mg)","Pantothenic acid (B5)  (mg)","Pyridoxine (B6)  (mg)","Biotin (B7)  (ug)","Cobalamin (B12)  (ug)","Folate, natural  (ug)","Folic acid  (ug)","Total folates  (ug)","Dietary folate equivalents  (ug)","Vitamin C  (mg)","Cholecalciferol (D3)  (ug)","Ergocalciferol (D2)  (ug)","25-hydroxy cholecalciferol (25-OH D3)  (ug)","25-hydroxy ergocalciferol (25-OH D2)  (ug)","Vitamin D3 equivalents  (ug)","Alpha tocopherol  (mg)","Alpha tocotrienol  (mg)","Beta tocopherol  (mg)","Beta tocotrienol  (mg)","Delta tocopherol  (mg)","Delta tocotrienol  (mg)","Gamma tocopherol  (mg)","Gamma tocotrienol  (mg)","Vitamin E  (mg)","C4 (%T)","C6 (%T)","C8 (%T)","C10 (%T)","C11 (%T)","C12 (%T)","C13 (%T)","C14 (%T)","C15 (%T)","C16 (%T)","C17 (%T)","C18 (%T)","C19 (%T)","C20 (%T)","C21 (%T)","C22 (%T)","C23 (%T)","C24 (%T)","Total saturated fatty acids, equated (%T)","C10:1 (%T)","C12:1 (%T)","C14:1 (%T)","C15:1 (%T)","C16:1 (%T)","C17:1 (%T)","C18:1 (%T)","C18:1w5 (%T)","C18:1w6 (%T)","C18:1w7 (%T)","C18:1w9 (%T)","C20:1 (%T)","C20:1w9 (%T)","C20:1w13 (%T)","C20:1w11 (%T)","C22:1 (%T)","C22:1w9 (%T)","C22:1w11 (%T)","C24:1 (%T)","C24:1w9 (%T)","C24:1w11 (%T)","C24:1w13 (%T)","Total monounsaturated fatty acids, equated (%T)","C12:2 (%T)","C16:2w4 (%T)","C16:3 (%T)","C18:2w6 (%T)","C18:3w3 (%T)","C18:3w4 (%T)","C18:3w6 (%T)","C18:4w1 (%T)","C18:4w3 (%T)","C20:2 (%T)","C20:2w6 (%T)","C20:3 (%T)","C20:4 (%T)","C20:3w3 (%T)","C20:3w6 (%T)","C20:4w3 (%T)","C20:4w6 (%T)","C20:5w3 (%T)","C21:5w3 (%T)","C22:2 (%T)","C22:2w6 (%T)","C22:4w6 (%T)","C22:5w3 (%T)","C22:5w6 (%T)","C22:6w3 (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated  (%T)","Total undifferentiated fatty acids  (%T)","Total trans fatty acids, imputed  (%T)","C4 (g)","C6 (g)","C8 (g)","C10 (g)","C11 (g)","C12 (g)","C13 (g)","C14 (g)","C15 (g)","C16 (g)","C17 (g)","C18 (g)","C19 (g)","C20 (g)","C21 (g)","C22 (g)","C23 (g)","C24 (g)","Total saturated fatty acids, equated  (g)","C10:1 (g)","C12:1 (g)","C14:1 (g)","C15:1 (g)","C16:1 (g)","C17:1 (g)","C18:1 (g)","C18:1w5 (mg)","C18:1w6 (mg)","C18:1w7 (g)","C18:1w9 (mg)","C20:1 (g)","C20:1w9 (mg)","C20:1w13 (mg)","C20:1w11 (mg)","C22:1 (g)","C22:1w9 (mg)","C22:1w11 (mg)","C24:1 (g)","C24:1w9 (mg)","C24:1w11 (mg)","C24:1w13 (mg)","Total monounsaturated fatty acids, equated  (g)","C12:2 (g)","C16:2w4 (mg)","C16:3 (g)","C18:2w6 (g)","C18:3w3 (g)","C18:3w4 (g)","C18:3w6 (mg)","C18:4w1 (g)","C18:4w3 (mg)","C20:2 (mg)","C20:2w6 (mg)","C20:3 (mg)","C20:3w3 (mg)","C20:3w6 (mg)","C20:4 (g)","C20:4w3 (mg)","C20:4w6 (mg)","C20:5w3 (mg)","C21:5w3 (g)","C22:5w3 (mg)","C22:4w6 (mg)","C22:2 (g)","C22:2w6 (mg)","C22:5w6 (g)","C22:6w3 (mg)","Total polyunsaturated fatty acids, equated  (g)","Total long chain omega 3 fatty acids, equated  (mg)","Total undifferentiated fatty acids, mass basis basis  (mg)","Total trans fatty acids, imputed  (mg)","Caffeine  (mg)","Cholesterol  (mg)","Alanine  (mg/gN)","Arginine  (mg/gN)","Aspartic acid  (mg/gN)","Cystine plus cysteine  (mg/gN)","Glutamic acid  (mg/gN)","Glycine  (mg/gN)","Histidine  (mg/gN)","Isoleucine  (mg/gN)","Leucine  (mg/gN)","Lysine  (mg/gN)","Methionine  (mg/gN)","Phenylalanine  (mg/gN)","Proline  (mg/gN)","Serine  (mg/gN)","Threonine  (mg/gN)","Tyrosine  (mg/gN)","Tryptophan  (mg/gN)","Valine  (mg/gN)","Alanine  (mg)","Arginine  (mg)","Aspartic acid  (mg)","Cystine plus cysteine  (mg)","Glutamic acid  (mg)","Glycine  (mg)","Histidine  (mg)","Isoleucine  (mg)","Leucine  (mg)","Lysine  (mg)","Methionine  (mg)","Phenylalanine  (mg)","Proline  (mg)","Serine  (mg)","Threonine  (mg)","Tyrosine  (mg)","Tryptophan  (mg)","Valine  (mg)"
"F002258","31302","Cardamom seed, dried, ground","1236","1012","8.3","10.8","1.72","6.7","5.8","28","0","nan","nan","nan","nan","nan","nan","nan","4.4","0","0","30","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","34.4","34.4","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","383","nan","nan","nan","nan","nan","0","13.97","nan","229","nan","nan","nan","nan","178","1119","11.7","18","nan","nan","7.47","0","nan","22","nan","22","4","nan","nan","nan","0.198","0.182","1.1","2.64","3.74","nan","0.23","nan","0","3","0","3","3","21","0","0","0","0","0","2.8","nan","nan","nan","nan","nan","nan","nan","2.85","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","34.34","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","43.94","nan","nan","nan","15.6","6.1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","21.72","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","2.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","2.81","nan","nan","nan","1","0.39","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","1.39","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","90","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","155","nan"
"F002893","31302","Chilli (chili), dried, ground","1280","1002","10.8","13.4","2.14","14.3","11.8","34.8","0","nan","nan","nan","nan","nan","nan","nan","7.2","0","0","7.7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","14.9","14.9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","330","nan","nan","nan","nan","nan","2.3","17.3","nan","149","nan","nan","nan","nan","300","1950","20.4","2867","nan","nan","4.3","0","nan","15000","nan","15000","2500","nan","nan","nan","0.25","0.94","11.6","1.18","12.78","nan","2.09","nan","0","28","0","28","28","1","0","0","0","0","0","38.1","nan","nan","nan","nan","nan","nan","nan","38.14","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","18","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","23.47","nan","nan","nan","54.6","3.9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","58.53","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","2.06","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","2.68","nan","nan","nan","6.24","0.44","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","6.69","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","32","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","69","nan"
"F002963","31302","Cinnamon, dried, ground","1004","579","10.6","4","0.64","1.2","3.6","53.1","0","nan","nan","nan","nan","nan","nan","nan","2.2","0","0","25.3","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","27.5","27.5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1002","nan","nan","nan","nan","nan","0.1","8.32","nan","60","nan","nan","nan","nan","64","431","3.1","10","nan","nan","1.83","0","nan","112","nan","112","19","nan","nan","nan","0.022","0.041","1.33","0.83","2.16","nan","0.16","nan","0","6","0","6","6","4","0","0","0","0","0","2.3","nan","nan","nan","nan","nan","nan","nan","2.32","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","52.35","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","37.33","nan","nan","nan","6.7","1.7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","10.32","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.62","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.44","nan","nan","nan","0.08","0.02","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","0.12","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","77","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","49","nan"
"F002970","31302","Cloves, dried, ground","1389","1118","9.9","6","0.96","13","5.6","33.9","0","nan","nan","nan","nan","nan","nan","nan","2.4","0","0","29.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","31.6","31.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","632","nan","nan","nan","nan","nan","50.7","11.83","nan","259","nan","nan","nan","nan","104","1020","7.2","277","nan","nan","2.32","0","nan","45","nan","45","8","nan","nan","nan","0.216","0.22","1.56","0.51","2.07","nan","0.39","nan","0","25","0","25","25","0","0","0","0","0","0","8.8","nan","nan","nan","nan","nan","nan","nan","8.82","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","44.15","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","15.56","nan","nan","nan","29.7","6.5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.1","nan","nan","nan","nan","2","nan","0","40.45","2.145","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","5.49","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.93","nan","nan","nan","3.69","0.81","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","11.06","nan","255.52","nan","nan","nan","nan","0","5.03","266.581","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","31","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","30","nan"
"F003190","31302","Coriander seed, dried, ground","1344","1009","8.9","12.4","1.98","17.8","6","41.9","0","nan","nan","nan","nan","nan","nan","nan","2.4","0","0","6.1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","8.4","8.4","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","709","nan","nan","nan","nan","nan","2.3","16.32","nan","330","nan","nan","nan","nan","409","1267","26.2","35","nan","nan","4.7","0","nan","122","nan","122","20","nan","nan","nan","0.239","0.29","2.13","3.03","5.16","nan","0.04","nan","0","0","0","0","0","21","0","0","0","0","0","0.9","nan","nan","nan","nan","nan","nan","nan","0.91","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","6.07","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","83.21","nan","nan","nan","10.7","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","10.72","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.03","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","14.14","nan","nan","nan","1.82","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","1.82","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","90","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","178","nan"
"F003327","31302","Cumin (cummin) seed, dried, ground","1782","1698","8.1","17.8","2.85","22.3","7.6","10.5","0","nan","nan","nan","nan","nan","nan","nan","2.2","0","0","31.5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","33.7","33.7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","931","nan","nan","nan","nan","nan","13.6","66.36","nan","366","nan","nan","nan","nan","499","1788","5.2","168","nan","nan","4.8","0","nan","762","nan","762","127","nan","nan","nan","0.628","0.327","4.58","4.36","8.94","nan","0.44","nan","0","10","0","10","10","8","0","0","0","0","0","3.3","nan","nan","nan","nan","nan","nan","nan","3.33","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","8.14","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","74.47","nan","nan","nan","16.4","0.9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","17.39","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","15.85","nan","nan","nan","3.5","0.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","3.7","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","90","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","257","nan"
"F003337","31302","Curry powder","1231","805","8.8","14.3","2.29","14","7.1","53.2","0","nan","nan","nan","nan","nan","nan","nan","2.8","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","2.8","2.8","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","525","nan","nan","nan","nan","nan","0","19.1","nan","255","nan","nan","nan","nan","367","1170","40.3","52","nan","nan","4.7","0","nan","11","nan","11","2","nan","nan","nan","0.176","0.2","3.26","1.85","5.11","nan","0.1","nan","0","56","0","56","56","1","0","0","0","0","0","25.2","nan","nan","nan","nan","nan","nan","nan","25.24","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","12.22","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","65.12","nan","nan","nan","20.7","1.9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","22.56","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.64","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","8.72","nan","nan","nan","2.77","0.25","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","3.02","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","109","nan"
"F003821","31302","Fenugreek seed, dried","1080","699","8.8","23","3.68","6.4","3.4","47.6","0","nan","nan","nan","nan","nan","nan","nan","0.6","0","0","3.7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","4.2","4.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","176","nan","nan","nan","nan","nan","2.3","33.53","nan","191","nan","nan","nan","nan","296","770","6.3","67","nan","nan","2.5","0","nan","142","nan","142","24","nan","nan","nan","0.322","0.366","1.64","5.64","7.28","nan","0.6","nan","0","57","0","57","57","3","0","0","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","0.02","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","16.84","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","14.65","nan","nan","nan","44.8","23.7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","68.51","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.03","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.9","nan","nan","nan","2.75","1.45","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","4.2","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","90","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","332","nan"
"F004210","31302","Ginger, dried, ground","1397","1284","9.9","9","1.44","4.2","5.2","14.1","0","nan","nan","nan","nan","nan","nan","nan","3.4","0","0","54.1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","57.5","57.5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","114","nan","nan","nan","nan","nan","12.4","19.8","nan","214","nan","nan","nan","nan","168","1320","55.8","27","nan","nan","3.64","0","nan","18","nan","18","3","nan","nan","nan","0.046","0.17","9.62","2.58","12.2","nan","0.63","nan","0","13","0","13","13","1","0","0","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","64.86","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","11.95","nan","nan","nan","17.6","5.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","0","nan","0","23.18","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","2.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.4","nan","nan","nan","0.6","0.19","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","0","nan","nan","nan","nan","0","0.79","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","106","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","152","nan"
"F005972","31302","Mustard powder","2289","2249","4.3","29.4","4.71","39.5","3.4","5","0","0","0.1","4.9","0","0","nan","nan","5","0","0","12.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","17.2","17.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","160","nan","79","nan","0.41","0","0","7","nan","310","1.9","nan","nan","nan","730","650","160","3","900","nan","4.9","0","0","35","0","35","6","nan","nan","nan","1.3","0","6.5","4.24","10.74","nan","0.4","nan","0","162","0","162","162","7","0","0","0","0","0","5.1","nan","nan","nan","nan","nan","nan","nan","5.07","nan","nan","nan","0","nan","0","nan","0","0","3.2","0","1.4","nan","0.7","nan","0","nan","0","5.3","nan","nan","nan","0","0","0","25.8","nan","nan","nan","nan","12.3","nan","nan","nan","25.2","nan","nan","nan","nan","nan","nan","63.3","nan","nan","nan","19.4","12.1","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","0","0","nan","nan","nan","nan","0","nan","0","31.5","0","nan","0","nan","nan","nan","0","nan","0","nan","0","0","1.21","0","0.53","nan","0.26","nan","0","nan","0","2","nan","nan","nan","0","0","0","9.74","nan","nan","nan","nan","4.64","nan","nan","nan","9.52","nan","nan","nan","nan","nan","nan","23.9","nan","nan","nan","7.32","4.57","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","0","0","nan","0","nan","nan","nan","nan","0","11.9","0","nan","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","53","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","250","nan"
