Date,Ticker,Shares,Open,High,Low,Close,Volume,Value
2025-06-30,ALK.AX,153181,0.725,0.735,0.705,0.715,1593644,109524.41
2025-06-30,AMP.AX,70000,1.270,1.290,1.255,1.260,6163609,88200.00
2025-06-30,ASM.AX,57458,0.520,0.525,0.500,0.505,396387,29016.29
2025-06-30,BHP.AX,16391,37.180,37.200,36.540,36.750,12990646,602369.25
2025-06-30,CAN.AX,44090,0.011,0.011,0.010,0.010,1536611,440.90
2025-06-30,CBA.AX,0,185.360,186.830,183.410,184.750,2762322,0.00
2025-06-30,CNB.AX,10000,0.400,0.415,0.380,0.385,582035,3850.00
2025-06-30,E25.AX,20000,0.215,0.230,0.215,0.230,233572,4600.00
2025-06-30,ERA.AX,700000,0.002,0.002,0.002,0.002,1048790,1750.00
2025-06-30,PTR.AX,9412,0.330,0.345,0.320,0.345,915694,3247.14
2025-06-30,VML.AX,6000,0.100,0.100,0.100,0.100,0,600.00
2025-06-30,WBC.AX,0,33.900,34.160,33.800,33.860,5011742,0.00
2025-06-30,WDS.AX,1288,23.620,23.710,23.240,23.630,5926027,30435.44
2025-07-01,ALK.AX,153181,0.715,0.725,0.705,0.715,881773,109524.41
2025-07-01,AMP.AX,70000,1.255,1.278,1.255,1.270,4793575,88900.00
2025-07-01,ASM.AX,57458,0.520,0.585,0.520,0.565,398562,32463.77
2025-07-01,BHP.AX,16391,36.640,36.820,36.360,36.570,7856950,599418.86
2025-07-01,CAN.AX,44090,0.011,0.012,0.010,0.011,1634164,484.99
2025-07-01,CBA.AX,0,184.210,184.310,181.400,182.580,2968299,0.00
2025-07-01,CNB.AX,10000,0.415,0.415,0.382,0.410,377402,4100.00
2025-07-01,E25.AX,20000,0.230,0.230,0.220,0.230,72263,4600.00
2025-07-01,ERA.AX,700000,0.002,0.002,0.002,0.002,112863,1750.00
2025-07-01,PTR.AX,9412,0.340,0.360,0.340,0.350,392497,3294.20
2025-07-01,VML.AX,6000,0.100,0.100,0.100,0.100,0,600.00
2025-07-01,WBC.AX,0,33.870,34.035,33.570,33.870,4490183,0.00
2025-07-01,WDS.AX,1288,23.700,23.770,23.480,23.560,3309245,30345.28
2025-07-02,ALK.AX,153181,0.710,0.725,0.700,0.705,603902,107992.60
2025-07-02,AMP.AX,70000,1.275,1.340,1.265,1.340,9395636,93800.00
2025-07-02,ASM.AX,57458,0.575,0.590,0.540,0.545,226944,31314.61
2025-07-02,BHP.AX,16391,37.000,37.350,36.760,37.200,9145015,609745.21
2025-07-02,CAN.AX,44090,0.012,0.014,0.011,0.014,3119052,617.26
2025-07-02,CBA.AX,0,183.000,183.850,180.510,183.670,3202955,0.00
2025-07-02,CNB.AX,10000,0.405,0.415,0.400,0.415,307503,4150.00
2025-07-02,E25.AX,20000,0.225,0.225,0.210,0.210,253424,4200.00
2025-07-02,ERA.AX,700000,0.002,0.002,0.002,0.002,85274,1750.00
2025-07-02,PTR.AX,9412,0.360,0.370,0.333,0.340,545409,3200.08
2025-07-02,VML.AX,6000,0.100,0.100,0.100,0.100,0,600.00
2025-07-02,WBC.AX,0,33.940,34.000,33.385,33.720,5822400,0.00
2025-07-02,WDS.AX,1288,23.560,23.890,23.470,23.820,4048946,30680.16
2025-07-03,ALK.AX,153181,0.700,0.705,0.675,0.695,2330711,106460.79
2025-07-03,AMP.AX,70000,1.310,1.360,1.303,1.355,8149417,94850.00
2025-07-03,ASM.AX,57458,0.545,0.595,0.545,0.580,100958,33325.64
2025-07-03,BHP.AX,16391,38.400,39.270,38.370,39.270,16531066,643674.58
2025-07-03,CAN.AX,44090,0.014,0.015,0.013,0.015,1848945,661.35
2025-07-03,CBA.AX,0,182.410,182.410,179.580,179.690,1989031,0.00
2025-07-03,CNB.AX,10000,0.420,0.450,0.405,0.445,621377,4450.00
2025-07-03,E25.AX,20000,0.215,0.225,0.205,0.225,84757,4500.00
2025-07-03,ERA.AX,700000,0.003,0.003,0.002,0.002,1960121,1750.00
2025-07-03,PTR.AX,9412,0.345,0.370,0.340,0.370,584806,3482.44
2025-07-03,VML.AX,6000,0.100,0.100,0.100,0.100,0,600.00
2025-07-03,WBC.AX,0,33.420,33.710,33.270,33.480,3134557,0.00
2025-07-03,WDS.AX,1288,24.010,24.290,23.830,24.000,3128810,30912.00
2025-07-04,ALK.AX,153181,0.690,0.705,0.685,0.690,1184669,105694.89
2025-07-04,AMP.AX,70000,1.360,1.425,1.350,1.425,9476335,99750.00
2025-07-04,ASM.AX,57458,0.580,0.590,0.570,0.585,116205,33612.93
2025-07-04,BHP.AX,16391,38.600,38.990,38.450,38.730,7905428,634823.42
2025-07-04,CAN.AX,44090,0.015,0.017,0.015,0.017,4037271,749.53
2025-07-04,CBA.AX,0,179.510,180.490,176.440,178.000,2022811,0.00
2025-07-04,CNB.AX,10000,0.450,0.460,0.430,0.440,462804,4400.00
2025-07-04,E25.AX,20000,0.220,0.220,0.215,0.215,14522,4300.00
2025-07-04,ERA.AX,700000,0.002,0.002,0.002,0.002,355765,1750.00
2025-07-04,PTR.AX,9412,0.370,0.385,0.355,0.355,199396,3341.26
2025-07-04,VML.AX,6000,0.100,0.100,0.100,0.100,0,600.00
2025-07-04,WBC.AX,0,33.450,33.800,33.450,33.630,2223513,0.00
2025-07-04,WDS.AX,1288,24.070,24.120,23.950,24.060,2340558,30989.28
2025-07-07,ALK.AX,153181,0.690,0.700,0.665,0.670,1250922,102631.27
2025-07-07,AMP.AX,70000,1.420,1.433,1.405,1.430,6737161,100100.00
2025-07-07,ASM.AX,57458,0.580,0.590,0.565,0.565,86805,32463.77
2025-07-07,BHP.AX,16391,38.650,38.875,38.530,38.600,4267350,632692.57
2025-07-07,CAN.AX,44090,0.018,0.018,0.016,0.016,984386,705.44
2025-07-07,CBA.AX,0,177.570,179.015,176.980,177.810,1233379,0.00
2025-07-07,CNB.AX,10000,0.440,0.440,0.400,0.425,314515,4250.00
2025-07-07,E25.AX,20000,0.205,0.225,0.205,0.225,79414,4500.00
2025-07-07,ERA.AX,700000,0.002,0.002,0.002,0.002,251244,1750.00
2025-07-07,PTR.AX,9412,0.360,0.360,0.355,0.355,483694,3341.26
2025-07-07,VML.AX,6000,0.100,0.100,0.100,0.100,0,600.00
2025-07-07,WBC.AX,0,33.550,33.800,33.200,33.480,2361188,0.00
2025-07-07,WDS.AX,1288,23.980,24.050,23.640,23.870,3417676,30744.56
2025-07-08,ALK.AX,153181,0.670,0.700,0.665,0.700,2397901,107226.70
2025-07-08,AMP.AX,70000,1.420,1.455,1.400,1.445,7767542,101150.00
